id,name,now_cost,position,team,total_points,expected_goals_conceded_per_90,expected_goals_conceded,form,team_join_date,transfers_in,goals_conceded,saves_per_90,minutes,now_cost_rank_type,value_season,mng_underdog_draw,goals_conceded_per_90,penalties_missed,creativity,selected_rank,ict_index_rank_type,transfers_out_event,mng_clean_sheets,birth_date,starts,mng_goals_scored,penalties_saved,expected_goals,expected_assists_per_90,creativity_rank,mng_win,news_added,saves,clean_sheets,own_goals,bonus,chance_of_playing_next_round,ep_this,points_per_game_rank_type,ict_index,transfers_out,opta_code,direct_freekicks_order,clean_sheets_per_90,can_select,selected_by_percent,mng_underdog_win,corners_and_indirect_freekicks_order,cost_change_start_fall,dreamteam_count,points_per_game_rank,assists,expected_goal_involvements,event_points,points_per_game,yellow_cards,cost_change_event_fall,mng_draw,starts_per_90,threat_rank,cost_change_event,bps,selected_rank_type,influence_rank,penalties_order,in_dreamteam,red_cards,region,threat_rank_type,cost_change_start,value_form,chance_of_playing_this_round,form_rank,transfers_in_event,influence,web_name,news,mng_loss,creativity_rank_type,expected_goals_per_90,now_cost_rank,form_rank_type,ict_index_rank,influence_rank_type,ep_next,goals_scored,expected_goal_involvements_per_90,expected_assists,status,threat
147,Adam Webster,43,DEF,Brighton,34,1.29,10.07,1.6,2019-08-03,14780,8,0.0,705,111,7.9,0,1.02,0,42.0,488,125,5,0,1995-01-04,9,0,0,0.02,0.03,370,0,2025-03-30T02:00:08.587962Z,0,4,0,2,100.0,1.6,44,24.4,20498,p110735,,0.51,True,0.1,0,,2,0,161,0,0.24,8,2.8,0,0,0,1.15,361,0,150,169,320,,False,0,241.0,119,-2,0.4,100.0,219,24,172.2,Webster,,0,126,0.0,562,68,373,119,0.6,0,0.03,0.22,a,31.0
148,Danny Welbeck,55,FWD,Brighton,120,1.56,35.16,3.8,2020-10-18,4118478,35,0.0,2026,28,21.8,0,1.55,0,296.8,59,15,1107,0,1990-11-26,23,0,0,8.92,0.06,135,0,2025-02-22T21:30:09.255845Z,0,7,0,21,100.0,3.8,12,144.0,3871894,p50175,1.0,0.31,True,6.2,0,,0,2,39,4,10.20,9,4.1,5,0,0,1.02,43,0,463,11,117,3.0,False,0,241.0,17,0,0.7,100.0,66,1596,528.2,Welbeck,,0,13,0.4,106,7,72,13,2.8,10,0.46,1.28,a,614.0
149,Mats Wieffer,47,MID,Brighton,48,1.61,14.70,3.2,2024-07-06,17031,19,0.0,823,216,10.2,0,2.08,0,190.1,542,133,4,0,1999-11-16,8,0,0,0.78,0.09,207,0,2025-03-30T02:00:08.604802Z,0,2,0,4,100.0,3.2,114,58.5,22094,p467779,,0.22,True,0.1,0,,3,0,271,5,1.58,5,2.1,6,0,0,0.87,256,0,208,203,235,,False,0,152.0,144,-3,0.7,100.0,93,36,286.8,Wieffer,,0,138,0.09,334,38,257,103,2.2,1,0.18,0.80,a,111.0
595,Brajan Gruda,54,MID,Brighton,37,1.48,8.68,3.0,2024-08-14,2748,12,0.0,529,87,6.9,0,2.04,0,198.8,618,148,5,0,2004-05-31,6,0,0,0.89,0.19,202,0,2025-01-24T00:00:10.185786Z,0,1,0,0,100.0,3.0,141,48.7,5046,p513433,,0.17,True,0.0,0,,1,0,313,3,2.01,6,1.9,0,0,0,1.02,226,0,133,244,331,,False,0,80.0,128,-1,0.6,100.0,117,34,158.4,Gruda,,0,133,0.15,138,50,286,150,2.0,1,0.34,1.12,a,134.0
600,Yasin Ayari,50,MID,Brighton,64,1.3,26.65,2.8,2023-01-30,7062,25,0.0,1840,145,12.8,0,1.22,0,465.9,588,79,10,0,2003-10-06,20,0,0,2.33,0.11,75,0,2025-02-01T22:30:08.709133Z,0,7,0,1,100.0,2.8,133,102.1,6826,p509416,,0.34,True,0.0,0,3.0,0,0,295,1,4.64,3,2.0,4,0,0,0.98,140,0,321,228,214,,False,0,206.0,89,0,0.6,100.0,125,9,321.4,Ayari,,0,58,0.11,229,56,132,96,1.8,1,0.22,2.31,a,235.0
601,Andrew Moran,50,MID,Brighton,0,0.0,0.00,0.0,,24,0,0.0,0,146,0.0,0,0.0,0,0.0,773,338,0,0,,0,0,0,0.00,0.0,785,0,2024-08-20T12:19:09.002604Z,0,0,0,0,0.0,0.0,338,0.0,534,p513834,,0.0,False,0.0,0,,0,0,785,0,0.00,0,0.0,0,0,0,0.0,779,0,0,328,786,,False,0,,337,0,0.0,0.0,758,0,0.0,Moran,Loaned to Stoke City,0,338,0.0,230,326,786,338,0.0,0,0.0,0.00,u,0.0
615,Carl Rushworth,39,GKP,Brighton,0,0.0,0.00,0.0,2023-07-01,12476,0,0.0,0,78,0.0,0,0.0,0,0.0,500,56,9,0,2001-07-02,0,0,0,0.00,0.0,559,0,2024-08-31T06:28:38.039682Z,0,0,0,0,100.0,0.0,56,0.0,10551,p472739,,0.0,True,0.1,0,,1,0,589,0,0.00,0,0.0,0,0,0,0.0,515,0,0,67,579,,False,0,241.0,19,-1,0.0,100.0,445,6,0.0,Rushworth,,0,39,0.0,760,41,579,56,-1.0,0,0.0,0.00,a,0.0
618,Georginio Rutter,50,MID,Brighton,95,1.52,27.90,0.0,2024-08-19,360296,29,0.0,1651,140,19.0,0,1.58,0,281.8,303,78,42,0,2002-04-20,19,0,0,4.57,0.09,147,0,2025-03-30T02:00:09.254489Z,0,6,0,1,0.0,0.0,50,103.0,340659,p463067,,0.33,True,0.3,0,,5,1,107,6,6.24,0,3.4,2,0,0,1.04,72,0,288,93,194,,False,0,73.0,46,-5,0.0,0.0,753,4,355.4,Georginio,Ankle injury - Expected back 25 May,0,104,0.25,222,323,131,84,0.0,5,0.34,1.67,i,404.0
628,Ferdi Kadioglu,44,DEF,Brighton,19,2.21,9.44,0.0,2024-08-27,74110,8,0.0,385,98,4.3,0,1.87,0,83.7,480,127,2,0,1999-10-07,5,0,0,0.44,0.07,310,0,2024-11-10T01:30:09.967684Z,0,2,0,0,0.0,0.0,28,24.0,72387,p231416,,0.47,True,0.1,0,,1,0,122,0,0.75,0,3.2,1,0,0,1.17,342,0,59,167,362,,False,0,219.0,113,-1,0.0,0.0,587,3,116.4,F.Kadıoğlu,Toe Injury - Expected back 25 May,0,95,0.1,519,239,375,129,0.0,1,0.17,0.31,i,40.0
629,Matt O'Riley,55,MID,Brighton,40,1.41,14.06,2.4,2024-08-26,20231,20,0.0,898,71,7.3,0,2.0,0,293.3,548,120,27,0,2000-11-21,11,0,0,1.97,0.16,138,0,2025-03-07T12:00:09.447793Z,0,2,1,2,100.0,2.4,122,64.4,17903,p219249,,0.2,True,0.0,0,1.0,0,0,282,2,3.59,1,2.1,1,0,0,1.1,169,0,171,206,334,,False,0,58.0,106,0,0.4,100.0,146,14,157.4,O'Riley,,0,97,0.2,114,64,239,151,1.4,1,0.36,1.62,a,194.0
